Package Name,App Name
com.xy.smartmmsplugin.remote,短信智能插件
com.vmall.client,华为商城
com.vlife.huawei.wallpaper,动态壁纸
com.unionpay.tsmservice,银联可信服务安全组件
com.tencent.mobileqq,QQ
com.tencent.mm,微信
com.qeexo.smartshot,智能截屏
com.nuance.swype.emui,华为swype输入法
com.jingdong.app.mall,京东
com.iflytek.speechsuite,讯飞语音引擎
com.huawei.yellowpage,在线黄页
com.huawei.wifiprobqeservice,WIFI服务
com.huawei.watch.sync,手表同步
com.huawei.wallet,华为钱包
com.huawei.videoeditor,视频编辑
com.huawei.vdrive,华为驾驶模式
com.huawei.vassistant,语言助手
com.huawei.trustspace,支付保护中心
com.huawei.trustcircle,华为支付保护中心
com.huawei.trustagent,华为智能解锁
com.huawei.tips,智能提醒服务
com.huawei.systemmanager,手机管家
com.huawei.synergy,输入设备
com.huawei.suggestion,情景智能
com.huawei.spaceservice,云空间
com.huawei.smartlocation,存储分配单元服务
com.huawei.smarthome,智能家居
com.huawei.skytone,天际通数据服务
com.huawei.securitymgr,隐私空间
com.huawei.secime,安全输入法
com.huawei.search,桌面下拉搜索
com.huawei.screenrecorder,屏幕录制
com.huawei.scenepack,华为旅行助手
com.huawei.scanner,华为扫一扫
com.huawei.regservice,华为注册服务
com.huawei.recsys,华为协同分析
com.huawei.rcsserviceapplication,华为融合通信服务
com.huawei.printservice,华为打印服务
com.huawei.powergenie,省电精灵
com.huawei.phoneservice,会员服务
com.huawei.pengine,华为智能建议
com.huawei.pcassistant,电脑协同端服务
com.huawei.parentcontrol,学生模式
com.huawei.numberidentity,号码识别
com.huawei.notepad,备忘录
com.huawei.nearby,华为附近
com.huawei.nb.service,数据管理服务
com.huawei.mycenter,会员中心
com.huawei.msdp,综合传感处理服务平台
com.huawei.motionservice,手势服务
com.huawei.mmitest,华为加载测试
com.huawei.lives,华为生活服务
com.huawei.lbs,融合定位
com.huawei.languagedownloader,下载语言
com.huawei.KoBackup,备份
com.huawei.internetaudioservice,智能线控
com.huawei.intelligent,智能助手
com.huawei.ims,基于IP传输组件
com.huawei.imedia.sws,音效管理
com.huawei.iconnect,智能家居互联
com.huawei.iaware,智能优化
com.huawei.hwvplayer.youku,华为播放器优酷
com.huawei.hwvoipservice,智能电话
com.huawei.hwstartupguide,使用向导
com.huawei.hwread.al,华为阅读
com.huawei.hwpolicyservice,华为旅行助手服务
com.huawei.HwMultiScreenShot,滚动截屏
com.huawei.hwmarket.vr,VR
com.huawei.hwireader,华为阅读
com.huawei.hwid,华为移动(框架)服务
com.huawei.hwdetectrepair,智能检测
com.huawei.hwasm,华为适配服务
com.huawei.hwapplet,旅行助手策略管理
com.huawei.honorclub.android,荣耀俱乐部
com.huawei.hnreader,荣耀阅读
com.huawei.hiviewtunnel,华为电池优化
com.huawei.hiview,电量低通知
com.huawei.hitouch,智慧识屏
com.huawei.hisuite,华为手机助手服务
com.huawei.hiskytone,天际通
com.huawei.himovie.overseas,华为视频（海外）
com.huawei.himovie,华为视频
com.huawei.hilink.framework,华为分布式框架
com.huawei.hifolder,云文件夹/精品推荐
com.huawei.hidisk,文件管理
com.huawei.hicard,互联车载分布式服务
com.huawei.hiboard,负一屏
com.huawei.hiai,华为智慧引擎
com.huawei.hiaction,智能识屏中控模块
com.huawei.health,华为运动健康
com.huawei.hbs.framework,布式框架服务
com.huawei.gamecenter,游戏中心
com.huawei.gamebox.global,游戏盒子
com.huawei.gamebox,华为游戏中心
com.huawei.gameassistant,应用助手
com.huawei.floatMms,短信悬浮窗
com.huawei.fido.uafclient,线上快速身份验证服务
com.huawei.featurelayer.sharedfeature.map,华为地图服务
com.huawei.fastapp,快应用中心
com.huawei.fans,花粉俱乐部
com.huawei.email,电子邮件
com.huawei.dtseffect,DTS控制
com.huawei.cryptosms.service,短信加密
com.huawei.contentsensor,取词
com.huawei.contactscamcard,华为扫描名片
com.huawei.contacts.sync,联系人同步
com.huawei.contacts,联系人
com.huawei.compass,指南针
com.huawei.camera,相机
com.huawei.calendar,日历
com.huawei.ca,CA证书服务
com.huawei.bone,华为运动
com.huawei.bluetooth,通过蓝牙传输
com.huawei.bd,用户体验改进计划
com.huawei.appmarket,应用市场
com.huawei.aod,屏下指纹待机模块
com.huawei.android.wfdft,WLAN直连
com.huawei.android.UEInfoCheck,自注册短信
com.huawei.android.totemweatherwidget,天气小工具
com.huawei.android.totemweather,天气数据服务
com.huawei.android.tips,玩机技巧
com.huawei.android.thememanager,主题
com.huawei.android.remotecontroller,智能遥控
com.huawei.android.pushagent,推送服务
com.huawei.android.projectmenu,工程菜单
com.huawei.android.mirrorshare,无线分享/share
com.huawei.android.mewidget,桌面插件
com.huawei.android.launcher,华为桌面启动器
com.huawei.android.karaoke,K歌特效
com.huawei.android.internal.app,华为分享
com.huawei.android.instantshare,华为分享服务
com.huawei.android.instantonline,在线检测
com.huawei.android.hwupgradeguide,升级向导
com.huawei.android.hwpay,华为钱包支付防护中心
com.huawei.android.hwouc,系统更新
com.huawei.android.hwaps,智能分辨率
com.huawei.android.hsf,华为服务框架
com.huawei.android.hiaidsengine,AI智慧识屏
com.huawei.android.FMRadio,收音机
com.huawei.android.FloatTasks,悬浮导航
com.huawei.android.findmyphone,查找手机
com.huawei.android.dsdscardmanager,双卡管理
com.huawei.android.chr,华为性差服务
com.huawei.android.calendarwidget,日历插件
com.huawei.android.AutoRegSms,自动注册
com.huawei.android.airsharing,华为无线分享
com.huawei.accountagent,云服务
com.hicloud.android.clone,手机克隆
com.google.android.syncadapters.contacts,Google通讯录同步
com.google.android.partnersetup,google合作伙伴设置
com.google.android.onetimeinitializer,Google One Time Init
com.google.android.marvin.talkback,Android Accessibility Suite
com.google.android.gsf.login,Google帐户管理程序
com.google.android.gsf,google服务框架
com.google.android.gms,谷歌play服务
com.google.android.configupdater,configupdater
com.google.android.backuptransport,google备份传输
com.example.android.notepad,备忘录
com.bjbyhd.screenreader_huawei,智能识屏阅读
com.baidu.input_huawei,华为(百度)输入法
com.android.wallpapercropper,壁纸设置
com.android.wallpaperbackup,wallpaperbackup
com.android.wallpaper.livepicker,动态屏保
com.android.vpndialogs,VPN设置
com.android.vending,google服务更新程序
com.android.systemui.flashlight.FlashlightActivity,手电筒
com.android.systemui,系统用户界面/状态栏
com.android.storagemanager,存储空间管理器
com.android.stk.StkLauncherActivity2,sim卡应用
com.android.stk.StkLauncherActivity,sim卡应用
com.android.stk,SIM应用图标
com.android.statementservice,报表服务
com.android.soundrecorder,录音机
com.android.simappdialog,Sim app Dialog
com.android.settings,设置
com.android.server.telecom,服务器通信
com.android.proxyhandler,处理器
com.android.providers.downloads.ui,下载内容
com.android.providers.downloads,下载管理器
com.android.providers.blockednumber,存储已屏蔽的号码
com.android.printspooler,打印处理服务
com.android.printservice.recommendation,Google组件
com.android.phone.recorder,通话录音
com.android.phone,主题拨号模块
com.android.pacprocessor,电脑互联服务
com.android.packageinstaller,应用安装/打包安装程序
com.android.onetimeinitializer,开机向导
com.android.nfc,nfc服务
com.android.mtp,媒体传输服务
com.android.mms.service,mmsservice
com.android.mms,信息
com.android.mediacenter,华为音乐
com.android.manager,安卓
com.android.managedprovisioning,权限用户管理
com.android.keyguard,华为杂志锁屏
com.android.internal.display.cutout.emulation.wide,宽型显示屏凹口
com.android.internal.display.cutout.emulation.tall,长型显示屏凹口
com.android.internal.display.cutout.emulation.narrow,窄型显示屏凹口
com.android.inputdevices,输入设备
com.android.incallui,拨号
com.android.hwmirror,镜子
com.android.htmlviewer,HTML查看器
com.android.gallery3d,图库
com.android.frameworkres.overlay,安卓框架上构
com.android.frameworkhwext.nova,更换主题
com.android.frameworkhwext.honor,荣耀框架
com.android.frameworkhwext.dark,深色模式框架
com.android.externalstorage,外部存储
com.android.emergency,个人紧急信息
com.android.email,电子邮件
com.android.dreams.phototable,图片保护程序
com.android.dreams.basic,安卓底层互动屏保
com.android.documentsui,安卓文件管理
com.android.deskclock,时钟
com.android.defcontainer,软件安装帮助程序
com.android.cts.priv.ctsshim,旅行助手
com.android.contacts.activities.DialtactsActivity,拨号
com.android.contacts,联系人
com.android.companiondevicemanager,跟随设备管理器
com.android.certinstaller,证书安装器
com.android.captiveportallogin,联网认证WiFi服务
com.android.calllogbackup,备份通讯录
com.android.calendar,日历
com.android.calculator2,计算器
com.android.browser,浏览器
com.android.bluetoothmidiservice,蓝牙服务组
com.android.backupconfirm,第三方的应用程序
com.android.apps.tag,标记
cn.HONOR.qinxuan,荣耀亲选
