Package Name,App Name
com.android.apps.tag,标记
com.android.backupconfirm,第三方的应用程序
com.android.bluetoothmidiservice,蓝牙服务组
com.android.browser,浏览器
com.android.calculator2,计算器
com.android.calendar,日历
com.android.calllogbackup,备份通讯录
com.android.captiveportallogin,联网认证WiFi服务
com.android.certinstaller,证书安装器
com.android.contacts,联系人
com.android.contacts.activities.DialtactsActivity,拨号
com.android.cts.priv.ctsshim,旅行助手
com.android.defcontainer,软件安装帮助程序
com.android.deskclock,时钟
com.android.documentsui,安卓文件管理
com.android.dreams.basic,安卓底层互动屏保
com.android.dreams.phototable,动态屏保
com.android.email,电子邮件
com.android.emergency,紧急信息
com.android.externalstorage,外部存储
com.android.frameworkhwext.dark,深色模式框架
com.android.frameworkhwext.honor,荣耀框架
com.android.frameworkhwext.nova,更换主题
com.android.frameworkres.overlay,安卓框架上构
com.android.gallery3d,图库
com.android.htmlviewer,HTML查看器
com.android.hwmirror,镜子
com.android.incallui,拨号
com.android.inputdevices,输入设备
com.android.keyguard,杂志锁屏
com.android.managedprovisioning,权限用户管理
com.android.mediacenter,华为音乐
com.android.mms,信息
com.android.mtp,媒体传输服务
com.android.onetimeinitializer,开机向导
com.android.packageinstaller,应用安装/打包安装程序
com.android.pacprocessor,电脑互联服务
com.android.phone,主题拨号模块
com.android.phone.recorder,安卓录音
com.android.printservice.recommendation,Google组件
com.android.printspooler,谷歌打印
com.android.providers.blockednumber,存储已屏蔽的号码
com.android.providers.downloads,下载管理器
com.android.providers.downloads.ui,下载内容
com.android.proxyhandler,处理器
com.android.server.telecom,服务器通信
com.android.settings,设置
com.android.soundrecorder,录音机
com.android.statementservice,报表服务
com.android.stk,SIM应用图标
com.android.stk.StkLauncherActivity,sim卡应用
com.android.stk.StkLauncherActivity2,sim卡应用
com.android.storagemanager,存储设备管理
com.android.systemui,系统用户界面/状态栏
com.android.systemui.flashlight.FlashlightActivity,手电筒
com.android.vpndialogs,VPN设置
com.android.wallpaper.livepicker,动态屏保
com.android.wallpapercropper,壁纸设置
com.baidu.input_huawei,华为(百度)输入法
com.bjbyhd.screenreader_huawei,智能识屏阅读
